# Copyright (C) 1991-2006 Altera Corporation,,,
# Your use of Altera Corporation's design tools, logic functions ,,
# and other software and tools, and its AMPP partner logic ,,
# functions, and any output files any of the foregoing ,,
# (including device programming or simulation files), and any ,,
# associated documentation or information are expressly subject ,,,
# to the terms and conditions of the Altera Program License ,,,
# Subscription Agreement, Altera MegaCore Function License ,,
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of ,,
# programming logic devices manufactured by Altera and sold by ,,,
# Altera or its authorized distributors.  Please refer to the ,,,
# applicable agreement for further details.,,,
#
# Quartus II Version 6.0 Build 202 06/20/2006 Service Pack 1 SJ Full Version,,,
# File: C:\DE1\DE1_TOP\DE1_TOP.csv,,,
# Generated on: Wed Sep 27 14:39:29 2006,,,,
#
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.,,,,
#
#  =========================,,,,
# Note by chu,,,,
#    - reset pin is not defined; must be assigned at top level,,,,
# sd card: di (cmd); do(dat0); cs(dat3),,,,
# sd_do(dat0) pin w20 is used as nCEO; must change to a general purpose pin,,,,
#  =========================,,,,
From,To,Assignment Name,Value,Enabled
,sw[0],Location,PIN_L22,Yes
,sw[1],Location,PIN_L21,Yes
,sw[2],Location,PIN_M22,Yes
,sw[3],Location,PIN_V12,Yes
,sw[4],Location,PIN_W12,Yes
,sw[5],Location,PIN_U12,Yes
,sw[6],Location,PIN_U11,Yes
,sw[7],Location,PIN_M2,Yes
,sw[8],Location,PIN_M1,Yes
,sw[9],Location,PIN_L2,Yes
,sw[0],I/O Standard,LVTTL,Yes
,sw[1],I/O Standard,LVTTL,Yes
,sw[2],I/O Standard,LVTTL,Yes
,sw[3],I/O Standard,LVTTL,Yes
,sw[4],I/O Standard,LVTTL,Yes
,sw[5],I/O Standard,LVTTL,Yes
,sw[6],I/O Standard,LVTTL,Yes
,sw[7],I/O Standard,LVTTL,Yes
,sw[8],I/O Standard,LVTTL,Yes
,sw[9],I/O Standard,LVTTL,Yes
,key[0],Location,PIN_R22,Yes
,key[1],Location,PIN_R21,Yes
,key[2],Location,PIN_T22,Yes
,key[3],Location,PIN_T21,Yes
,key[0],I/O Standard,LVTTL,Yes
,key[1],I/O Standard,LVTTL,Yes
,key[2],I/O Standard,LVTTL,Yes
,key[3],I/O Standard,LVTTL,Yes
,ledr[0],Location,PIN_R20,Yes
,ledr[1],Location,PIN_R19,Yes
,ledr[2],Location,PIN_U19,Yes
,ledr[3],Location,PIN_Y19,Yes
,ledr[4],Location,PIN_T18,Yes
,ledr[5],Location,PIN_V19,Yes
,ledr[6],Location,PIN_Y18,Yes
,ledr[7],Location,PIN_U18,Yes
,ledr[8],Location,PIN_R18,Yes
,ledr[9],Location,PIN_R17,Yes
,ledr[0],I/O Standard,LVTTL,Yes
,ledr[1],I/O Standard,LVTTL,Yes
,ledr[2],I/O Standard,LVTTL,Yes
,ledr[3],I/O Standard,LVTTL,Yes
,ledr[4],I/O Standard,LVTTL,Yes
,ledr[5],I/O Standard,LVTTL,Yes
,ledr[6],I/O Standard,LVTTL,Yes
,ledr[7],I/O Standard,LVTTL,Yes
,ledr[8],I/O Standard,LVTTL,Yes
,ledr[9],I/O Standard,LVTTL,Yes
,ledg[0],Location,PIN_U22,Yes
,ledg[1],Location,PIN_U21,Yes
,ledg[2],Location,PIN_V22,Yes
,ledg[3],Location,PIN_V21,Yes
,ledg[4],Location,PIN_W22,Yes
,ledg[5],Location,PIN_W21,Yes
,ledg[6],Location,PIN_Y22,Yes
,ledg[7],Location,PIN_Y21,Yes
,ledg[0],I/O Standard,LVTTL,Yes
,ledg[1],I/O Standard,LVTTL,Yes
,ledg[2],I/O Standard,LVTTL,Yes
,ledg[3],I/O Standard,LVTTL,Yes
,ledg[4],I/O Standard,LVTTL,Yes
,ledg[5],I/O Standard,LVTTL,Yes
,ledg[6],I/O Standard,LVTTL,Yes
,ledg[7],I/O Standard,LVTTL,Yes
,hex0[0],Location,PIN_J2,Yes
,hex0[1],Location,PIN_J1,Yes
,hex0[2],Location,PIN_H2,Yes
,hex0[3],Location,PIN_H1,Yes
,hex0[4],Location,PIN_F2,Yes
,hex0[5],Location,PIN_F1,Yes
,hex0[6],Location,PIN_E2,Yes
,hex1[0],Location,PIN_E1,Yes
,hex1[1],Location,PIN_H6,Yes
,hex1[2],Location,PIN_H5,Yes
,hex1[3],Location,PIN_H4,Yes
,hex1[4],Location,PIN_G3,Yes
,hex1[5],Location,PIN_D2,Yes
,hex1[6],Location,PIN_D1,Yes
,hex2[0],Location,PIN_G5,Yes
,hex2[1],Location,PIN_G6,Yes
,hex2[2],Location,PIN_C2,Yes
,hex2[3],Location,PIN_C1,Yes
,hex2[4],Location,PIN_E3,Yes
,hex2[5],Location,PIN_E4,Yes
,hex2[6],Location,PIN_D3,Yes
,hex3[0],Location,PIN_F4,Yes
,hex3[1],Location,PIN_D5,Yes
,hex3[2],Location,PIN_D6,Yes
,hex3[3],Location,PIN_J4,Yes
,hex3[4],Location,PIN_L8,Yes
,hex3[5],Location,PIN_F3,Yes
,hex3[6],Location,PIN_D4,Yes
,hex0[0],I/O Standard,LVTTL,Yes
,hex0[1],I/O Standard,LVTTL,Yes
,hex0[2],I/O Standard,LVTTL,Yes
,hex0[3],I/O Standard,LVTTL,Yes
,hex0[4],I/O Standard,LVTTL,Yes
,hex0[5],I/O Standard,LVTTL,Yes
,hex0[6],I/O Standard,LVTTL,Yes
,hex1[0],I/O Standard,LVTTL,Yes
,hex1[1],I/O Standard,LVTTL,Yes
,hex1[2],I/O Standard,LVTTL,Yes
,hex1[3],I/O Standard,LVTTL,Yes
,hex1[4],I/O Standard,LVTTL,Yes
