# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 10.1 Build 197 01/19/2011 Service Pack 1 SJ Full Version
# File: K:/code/altera/all/de2_pin.csv
# Generated on: Sun May 22 17:27:50 2011

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Standard,Reserved
sw[0],Unknown,PIN_N25,,
sw[1],Unknown,PIN_N26,,
sw[2],Unknown,PIN_P25,,
sw[3],Unknown,PIN_AE14,,
sw[4],Unknown,PIN_AF14,,
sw[5],Unknown,PIN_AD13,,
sw[6],Unknown,PIN_AC13,,
sw[7],Unknown,PIN_C13,,
sw[8],Unknown,PIN_B13,,
sw[9],Unknown,PIN_A13,,
sw[10],Unknown,PIN_N1,,
sw[11],Unknown,PIN_P1,,
sw[12],Unknown,PIN_P2,,
sw[13],Unknown,PIN_T7,,
sw[14],Unknown,PIN_U3,,
sw[15],Unknown,PIN_U4,,
sw[16],Unknown,PIN_V1,,
sw[17],Unknown,PIN_V2,,
key[0],Unknown,PIN_G26,,
key[1],Unknown,PIN_N23,,
key[2],Unknown,PIN_P23,,
key[3],Unknown,PIN_W26,,
ledr[0],Unknown,PIN_AE23,,
ledr[1],Unknown,PIN_AF23,,
ledr[2],Unknown,PIN_AB21,,
ledr[3],Unknown,PIN_AC22,,
ledr[4],Unknown,PIN_AD22,,
ledr[5],Unknown,PIN_AD23,,
ledr[6],Unknown,PIN_AD21,,
ledr[7],Unknown,PIN_AC21,,
ledr[8],Unknown,PIN_AA14,,
ledr[9],Unknown,PIN_Y13,,
ledr[10],Unknown,PIN_AA13,,
ledr[11],Unknown,PIN_AC14,,
ledr[12],Unknown,PIN_AD15,,
ledr[13],Unknown,PIN_AE15,,
ledr[14],Unknown,PIN_AF13,,
ledr[15],Unknown,PIN_AE13,,
ledr[16],Unknown,PIN_AE12,,
ledr[17],Unknown,PIN_AD12,,
ledg[0],Unknown,PIN_AE22,,
ledg[1],Unknown,PIN_AF22,,
ledg[2],Unknown,PIN_W19,,
ledg[3],Unknown,PIN_V18,,
ledg[4],Unknown,PIN_U18,,
ledg[5],Unknown,PIN_U17,,
ledg[6],Unknown,PIN_AA20,,
ledg[7],Unknown,PIN_Y18,,
ledg[8],Unknown,PIN_Y12,,
hex0[0],Unknown,PIN_AF10,,
hex0[1],Unknown,PIN_AB12,,
hex0[2],Unknown,PIN_AC12,,
hex0[3],Unknown,PIN_AD11,,
hex0[4],Unknown,PIN_AE11,,
hex0[5],Unknown,PIN_V14,,
hex0[6],Unknown,PIN_V13,,
hex1[0],Unknown,PIN_V20,,
hex1[1],Unknown,PIN_V21,,
hex1[2],Unknown,PIN_W21,,
hex1[3],Unknown,PIN_Y22,,
hex1[4],Unknown,PIN_AA24,,
hex1[5],Unknown,PIN_AA23,,
hex1[6],Unknown,PIN_AB24,,
hex2[0],Unknown,PIN_AB23,,
hex2[1],Unknown,PIN_V22,,
hex2[2],Unknown,PIN_AC25,,
hex2[3],Unknown,PIN_AC26,,
hex2[4],Unknown,PIN_AB26,,
hex2[5],Unknown,PIN_AB25,,
hex2[6],Unknown,PIN_Y24,,
hex3[0],Unknown,PIN_Y23,,
hex3[1],Unknown,PIN_AA25,,
hex3[2],Unknown,PIN_AA26,,
hex3[3],Unknown,PIN_Y26,,
hex3[4],Unknown,PIN_Y25,,
