
#Original				 #<<Q bits		#scaled number    #hex
0					 ==> <<8 		==>  0 				 0000
0.000419113369522606 ==> <<8 		==>  0				 0000	
0.00277206036612100  ==> <<8 		==>  1				 0001
0.000963111623627200 ==> <<8 		==>  0				 0000
-0.0136541501427120  ==> <<8 		==>  -3 			 FFFD
-0.0236039817900687  ==> <<8 		==>  -6 			 FFFA
0.00667869689404200  ==> <<8 		==>   2				 0002
0.0582990956266593   ==> <<8 		==>   15			 000F
0.0494643151807969   ==> <<8 		==>   13 			 000D
-0.0362637300178456  ==> <<8 		==>   -9			 FFF7
0.909297052154195    ==> <<8 		==>   233			 00E9
-0.0362637300178456  ==> <<8 		==>    -9			 FFF7
0.0494643151807969   ==> <<8 		==>    13			 000D
0.0582990956266594   ==> <<8 		==>    15			 000F
0.00667869689404216  ==> <<8 		==>    2			 0002
-0.0236039817900688  ==> <<8 		==>    -6			 FFFA
-0.0136541501427116  ==> <<8 		==>    -3			 FFFD
0.000963111623627200 ==> <<8 		==>    0			 0000
0.00277206036612095  ==> <<8 		==>    1			 0001
0.000419113369522605 ==> <<8 		==>    0			 0000
0					 ==> <<8 		==>    0 			 0000
